Estimate,Std Error,t-stat,P-Value
58879.10026194646,275.3665053637846,30.51607163347671,0.0
8403.1040031414,45.89754895323452,1.3741417797221076,0.16956640215869623
63.06973960348024,19710.053572686054,1.0439512043230055,0.2966462251615034
20576.334164476564,19730.72766887779,0.9568234177276008,0.33878311910030456
18878.822282388184,19757.47748711072,0.11422046113824279,0.909075596397352
2256.7081895062365,19732.063807825813,0.7049851354676047,0.4809094471504798
13910.8116766155,19747.769255712778,0.593486055806882,0.5529294569917318
11720.025686557381,19806.842136687552,0.5723288958350214,0.5671696705336795
11336.028090068963,19882.833094992166,0.5638796079817133,0.5729053512529032
11211.524131170017,19901.431957040706,0.014700676993362962,0.9882725860885775
292.56452290584673,19924.06011144297,1.492786375698061,0.1356659618567786
29742.365482951256,19982.840084422583,0.6410007043914412,0.521602707935046
12809.014569856401,20032.818515630042,1.4342688488989772,0.15166687597811812
28732.447552614816,20149.039818340072,0.9077428314524945,0.36413395388443703
18290.146455749073,20957.876069353384,1.06288282483579,0.2879757129674523
22275.766519152727,21004.542121736144,0.2632426899361648,0.7923932451133404
5529.2921690033,21220.613799660205,0.7485809180420017,0.4542062982204025
15885.346559564405,21522.165527867957,0.688237772062402,0.4913905305396433
14812.367252858074,22684.31059663541,-0.6428890583621552,0.5203768501113084
-14583.495079065597,21963.48272078392,-0.7187123155119595,0.4724101994112413
-15785.425522961521,23274.716504981374,0.3096659909047788,0.756850320430656
7207.388149542867,25383.916065231,0.31090481937007963,0.7559084860841749
7891.9818391659055,19667.356040650113,2.993747616113233,0.002792767936259155
